DATE,ALBANIA,AUSTRIA,BELGIUM,BULGARIA,SWITZERLAND,CYPRUS,CZECHIA,GERMANY,DENMARK,ESTONIA,GREECE,SPAIN,FINLAND,FRANCE,CROATIA,HUNGARY,IRELAND,ICELAND,ITALY,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,LATVIA,MONTENEGRO,MACEDONIA,MALTA,NETHERLANDS,NORWAY,POLAND,PORTUGAL,ROMANIA,SERBIA,SWEDEN,SLOVENIA,SLOVAKIA,TURKEY,UK
1990,,93,328.7,77.4,167.9,62.7,,222.2,119.3,36.1,77.9,76.8,16.4,91.9,,111.4,51.3,2.5,188.2,181.9,56.6,147.7,42.8,,,1122.2,440.5,13.8,121.9,108.3,101.2,,19.4,98.6,108.1,,236.1
1991,,94,329.9,76.7,170,64.3,,224.1,119.6,35.9,78.9,77,16.5,92.4,,111.2,51.5,2.6,188.4,184.9,56.7,149.7,42.6,,,1133.5,444,13.9,122.3,108,101,,19.5,98.7,108.2,,236.8
1992,,95,331.2,75.9,171.9,66.1,133.5,225.8,120,35.3,79.5,77.4,16.6,92.8,,111,52,2.6,192.5,187.5,56.7,151.7,42,,,1144.7,447.4,13.9,122.7,108.9,99.3,,21.1,98.4,108.2,,237.4
1993,,95.8,332.5,75.3,173.5,67.7,133.7,227.3,120.4,34.4,80,77.8,16.6,93.2,,110.6,52.3,2.6,192.6,190.4,56.4,153.7,41.2,,,1155.6,450.5,14,123,108.8,99.2,,21.2,98.2,108.6,,238
1994,,96.2,333.5,75,174.9,69.1,133.7,228.1,120.8,33.7,80.4,78.2,16.7,93.6,,110.3,52.4,2.7,192.6,192.8,56,155.8,40.5,,78.1,1165.9,453.2,14.1,123.3,109.1,98.8,,21.4,98.1,109,,238.6
1995,,96.3,334.2,74.7,176,70.4,133.7,228.8,121.3,33.1,80.7,78.5,16.8,93.9,,110,52.7,2.7,192.6,194.8,57.9,158,39.9,,78.9,1173.8,456.2,14.2,123.4,109.5,98.6,,21.5,98,109.6,,239.2
1996,,96.5,334.9,75.7,176.8,71.5,133.5,229.4,122.1,32.6,81.1,78.8,16.8,94.2,,109.6,53.2,2.7,192.7,196.4,57.5,160.2,39.4,,79.6,1180.9,458.3,14.3,123.5,109.9,98.4,,21.5,98.2,109.6,,239.9
1997,,96.6,335.7,75.1,177.2,72.5,133.3,229.8,122.6,32.2,81.5,79.2,16.9,94.5,,109.2,53.7,2.7,192.8,197.7,57,162.2,39.1,,80.2,1189,460.7,14.3,123.6,110,98.1,,21.5,98.6,109.8,,240.5
1998,,96.7,336.4,74.4,177.8,73.4,133.2,229.7,123.1,31.9,81.9,79.5,16.9,94.9,,108.7,54.3,2.7,192.8,200.4,56.6,164.2,38.7,,80.6,1196.2,463.6,14.4,123.6,110.3,97.9,,21.5,98.4,109.9,,241.2
1999,,96.9,336.8,74,178.6,74.2,133.1,230,123.4,31.7,82.3,79.8,17,95.4,,108.2,54.9,2.8,192.9,203.9,56.2,166.5,38.4,,81,1202.1,466.7,14.5,123,110.9,97.7,,21.6,98.6,110,,242
2000,,97.2,338,73.6,179.6,75,132.7,230.3,123.9,32.2,82.6,80.2,17,96,77.8,109.8,55.6,2.8,193,206.6,55.8,168.7,38,44.4,81.3,1208.4,470.2,14.7,122.4,111.7,97.6,,21.6,98.8,109.9,,242.8
2001,,97.5,339.2,72.3,180.8,75.8,132.2,230.7,124.3,32,83,80.7,17,96.7,76.1,109.5,56.5,2.8,193.1,210.1,55.4,170.7,37.5,44.6,81.2,1245.4,473.7,14.7,122.3,112.7,96.2,,21.7,98.9,109.7,84.7,243.8
2002,,98,340.7,70.6,182.1,76.7,132,231,124.7,31.8,83.3,81.9,17.1,97.4,76.1,109.2,57.5,2.9,193.3,215.6,54.9,172.5,37.1,44.8,81.1,1254.7,476.7,14.8,122.3,113.3,94.8,,21.8,99,109.7,85.8,244.8
2003,,98.5,342.1,70,183.5,77.7,131.9,231.2,125.1,31.6,83.5,83.4,17.1,98.1,76.1,108.9,58.4,2.9,194.2,218,54.5,174.6,36.7,44.9,81.4,1263,480.3,14.9,122.2,113.7,94.5,,21.8,99.1,109.6,86.8,246
2004,,99.1,343.6,69.5,184.8,78.7,132,231.1,125.4,31.4,83.7,84.8,17.2,98.8,76.1,108.6,59.5,2.9,195.5,220.4,53.9,177.1,36.3,45,81.6,1271.5,481.9,15.1,122.1,114,94.3,,21.9,99.2,109.6,87.8,247.4
2005,,99.8,345.5,69,185.9,79.8,132.2,230.9,125.7,31.2,84,86.3,17.2,99.6,76.2,108.4,60.8,3,196.4,222.3,53,179.9,35.9,45.1,81.8,1279.6,483.1,15.2,122.1,114,94.1,,22,99.3,109.6,88.9,249.1
2006,,100.3,347.8,68.5,187.1,81.2,132.5,230.7,126.2,31,84.2,87.7,17.3,100.2,76.2,108.3,62.5,3,197,224.2,52.2,182.8,35.6,45.2,81.9,1284.3,483.8,15.3,122,114.3,93.9,,22.1,99.6,109.6,90,250.9
2007,,100.6,350.4,68,188.8,82.9,133.3,230.4,126.7,30.9,84.5,90.1,17.4,100.9,76.2,108.1,64.3,3.1,198,225.6,51.6,185.6,35.3,45.3,82,1288.8,485.3,15.5,121.9,114.5,93.7,,22.3,99.8,109.6,91.2,252.9
2008,,100.9,353.1,67.5,191.2,85.4,134.4,229.9,127.5,30.8,84.7,91.6,17.5,101.4,76.2,107.9,65.6,3.2,199.3,227.1,51,189,35,45.5,82.2,1295.5,487.2,15.6,121.9,114.6,93.6,,22.5,100.4,109.7,92.3,254.9
2009,,101.2,356,67.1,193.6,87.7,135.2,229.3,128.2,30.7,84.9,92.4,17.6,101.9,76.1,107.7,66.3,3.2,200.2,228.8,50.5,192.5,34.4,45.7,82.3,1305.3,489.7,15.8,124.6,114.6,93.4,,22.7,101.3,109.8,93.6,256.8
2010,,101.5,359.5,67.9,195.6,90,135.6,229,128.7,30.7,85,92.8,17.6,102.4,75.9,107.5,66.7,3.2,200.9,230.6,49.4,196,33.7,44.8,82.5,1311.7,492.2,16,124.2,114.7,93.2,,22.9,101.7,109.9,95,258.8
2011,,101.8,364.3,67.5,197.8,92.3,135.9,224.8,129.7,30.6,84.1,93.2,17.7,102.9,75.7,107.2,67,3.2,201.2,232.5,48.3,200.4,33.1,44.9,82.6,1317.3,494.5,16.2,124.3,114.5,93,,23,101.9,110.1,96.4,260.9
2012,100.7,102.3,366.3,67.1,199.9,93.8,136.1,225.2,130.4,30.5,83.6,93.2,17.8,103.4,75.4,106.6,67.3,3.2,201.8,234.7,47.7,205.3,32.7,44.9,82.7,1329.2,496.9,16.5,124.3,114,87.1,,23.4,102.2,110.3,97.7,262.7
2013,100.6,102.9,368,66.7,202.3,93.5,136.1,225.8,130.8,30.3,83,92.9,17.9,103.9,75.2,106.4,67.6,3.2,199.4,236.8,47.2,210.1,32.4,45,82.8,1348,498.4,16.7,124.2,113.4,86.9,,23.6,102.3,110.4,98.9,264.4
2014,100.4,103.7,369.6,66.3,204.7,92.5,136.3,226.5,131.5,30.3,82.5,92.5,18,104.6,74.9,108.1,67.8,3.3,206,235.7,46.8,215.1,32,45,83,1375.2,500.9,16.9,123.7,112.8,86.6,,23.8,102.4,110.5,100.3,266.4
2015,100.1,104.9,371.8,66.2,207.1,92,136.6,228.4,132.4,30.3,82.7,92.5,18,105.1,74.4,107.9,68.5,3.3,205.8,237.3,46.4,220.3,31.8,45,83.1,1408.4,503.1,17.1,123.6,112.3,86.1,,24.1,102.4,110.6,101.6,268.5
2016,99.9,106,373.7,64.8,210.1,92.4,136.8,233.1,136.4,30.3,82.4,92.5,18.1,105.3,74.6,107.6,69.3,3.3,205.4,238.7,45.8,225.1,31,45.7,83.2,1450.2,498.1,16.9,123.6,113.5,85.6,,24.4,102.5,111.5,103.4,270.6
2017,99.8,106.8,373.6,64.3,212,93.3,137.2,234,137.3,30.3,82.2,92.7,18.1,105.6,73.9,107.3,70,3.4,203.3,240.3,45.2,230.6,30.7,45.7,83.3,1495.2,501.1,17.1,123.6,113.2,85.2,91.5,24.7,102.6,111.7,104.8,272.4
2018,99.6,107.1,375.3,63.9,213.6,94.4,137.7,234.7,138,30.4,82.5,93.1,18.1,105.9,73.2,107.1,70.9,3.5,202.9,242.1,44.7,235.1,30.4,45.7,83.4,1548.3,504,17.2,123.6,113,83.1,91,25,102.9,111.8,106.2,273.8
2019,99.1,107.6,377.3,63.4,215.1,95.7,138.2,235.2,138.5,30.5,82.4,93.8,18.2,106.1,72.8,107.1,71.9,3.6,201.5,244.1,44.6,239.8,30.2,45.7,83.4,1595.1,507.3,17.3,123.6,113,82.7,90.5,25.2,103.7,112,107.7,
